2qiDXgq5fL1FetkhX5xi9L,Regent's Park,0.651,0.33,-11.079,0.28,0.757,1.61e-05,0.374,0.108,63.252
0fWyDYARNbNd0zaa5bsQIY,end (stripped.),0.53,0.173,-12.637,0.0702,0.921,5.12e-06,0.198,0.125,79.779
1TuSfYnKU5uKbYK1esQDLj,Another Heartbreak,0.587,0.251,-9.017,0.0289,0.862,0,0.272,0.105,75.163
3r8RuvgbX9s7ammBn07D3W,Ditto,0.814,0.641,-5.957,0.111,0.027,0,0.183,0.0993,133.854
5LvZe8erHQJvivxAQeqYPe,no song without you - london session,0.462,0.237,-10.964,0.0347,0.944,0.0982,0.26,0.107,97.028
4T6FWA703h6H7zk1FoSARw,New Light,0.826,0.694,-7.862,0.0315,0.316,0.0285,0.852,0.074,123.932
5nsFJfYtAFZmL9PbtYKYcA,See The Light,0.728,0.796,-5.33,0.0461,0.162,9.28e-06,0.691,0.196,117.925
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,0.593,0.0936,118.091
756z13Yy7jiN1wua27ZcH1,Iris - Acoustic,0.446,0.292,-14.207,0.0348,0.452,0.025,0.559,0.084,157.831
3Xu1SbsuVDHrnzuNAZEXNB,Forget Me - Piano Acoustic,0.716,0.454,-5.106,0.0318,0.751,0,0.486,0.143,101.953
7keXdrB4mz57u4b8YkCwag,Dreaming with a Broken Heart,0.61,0.349,-9.321,0.0301,0.554,0.0099,0.155,0.201,136.012
