Name,Genre,Artist,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Liveness
Incomplete,"hip hop, pop, R&B",Sisqo,0.746,0.443,-7.693,0.0771,0.282,0.0,0.272,0.14
I Just Wanna Love U (Give It 2 Me),hip hop,JAY-Z,0.8,0.922,-5.125,0.24,0.301,9.31e-06,0.801,0.0352
Thank God I Found You (feat. Joe & 98°),"pop, R&B",Mariah Carey,0.348,0.532,-5.882,0.0331,0.592,0.0,0.148,0.106
Who Let The Dogs Out,R&B,Baha Men,0.869,0.887,-4.505,0.0993,0.0605,0.0,0.784,0.148
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","pop, R&B",Donell Jones,0.854,0.543,-6.166,0.0844,0.0402,5.73e-05,0.868,0.0419
Can't Fight The Moonlight,"pop, country",LeAnn Rimes,0.628,0.834,-6.341,0.0497,0.403,0.0,0.626,0.051
Go Let It Out,"Folk/Acoustic, rock",Oasis,0.408,0.849,-5.631,0.0333,0.0136,2.51e-05,0.628,0.56
Hey Baby (Radio Mix),"pop, easy listening, Dance/Electronic",DJ Ötzi,0.666,0.968,-3.196,0.046,0.123,0.0,0.834,0.347
Most Girls,pop,P!nk,0.742,0.732,-6.046,0.0311,0.0424,0.00446,0.694,0.101
Against All Odds (Take A Look at Me Now) (feat. Westlife),"pop, R&B",Mariah Carey,0.471,0.514,-5.599,0.0315,0.584,0.0,0.373,0.103
Fill Me In,"hip hop, pop, R&B",Craig David,0.682,0.744,-6.981,0.0365,0.376,0.00951,0.827,0.06
I Turn to You,pop,Christina Aguilera,0.599,0.47,-8.356,0.0376,0.38,0.0,0.298,0.111
American Pie,pop,Madonna,0.631,0.734,-7.48,0.036,0.348,0.0,0.591,0.135
Otherside,rock,Red Hot Chili Peppers,0.458,0.795,-3.265,0.0574,0.00316,0.000202,0.513,0.0756
I Like It,"hip hop, pop, R&B",Sammie,0.826,0.656,-8.529,0.0617,0.0101,0.000113,0.852,0.0272
7 Days,"hip hop, pop, R&B",Craig David,0.659,0.812,-7.499,0.0487,0.23,0.0,0.888,0.0951
Maria Maria (feat. The Product G&B),"rock, blues, latin",Santana,0.777,0.601,-5.931,0.126,0.0406,0.00201,0.68,0.0348
Don't Think I'm Not,"pop, R&B",Kandi,0.859,0.622,-8.196,0.0445,0.0661,0.0,0.433,0.0394
There You Go,pop,P!nk,0.822,0.847,-6.729,0.0917,0.0854,0.0,0.668,0.0452
Shalala Lala,pop,Vengaboys,0.751,0.901,-5.802,0.0328,0.0504,0.00308,0.973,0.0395
Life Is A Rollercoaster,"pop, rock",Ronan Keating,0.655,0.791,-8.923,0.0302,0.1,0.000124,0.862,0.334
Don't Call Me Baby,Dance/Electronic,Madison Avenue,0.808,0.982,-6.588,0.0311,0.0585,0.00689,0.961,0.35
"Jumpin', Jumpin'","pop, R&B",Destiny's Child,0.771,0.685,-4.639,0.0567,0.00543,0.00157,0.683,0.0537
That's the Way It Is,pop,Céline Dion,0.634,0.886,-5.424,0.0434,0.154,0.0,0.577,0.118
Kryptonite,"pop, rock, metal",3 Doors Down,0.545,0.865,-5.708,0.0286,0.00664,1.1e-05,0.543,0.168
I Wish,"pop, R&B",Carl Thomas,0.736,0.666,-4.929,0.0337,0.0593,3.82e-05,0.224,0.107
Shake Ya Ass,"hip hop, pop",Mystikal,0.914,0.607,-5.658,0.32,0.0626,0.0,0.666,0.0515
Hemorrhage (In My Hands),"rock, pop, metal",Fuel,0.313,0.831,-3.894,0.0404,0.000127,0.000341,0.332,0.24
Where I Wanna Be,"pop, R&B",Donell Jones,0.664,0.396,-9.131,0.0298,0.52,0.0,0.453,0.268
Crash and Burn,pop,Savage Garden,0.581,0.607,-8.458,0.028,0.189,1.6e-06,0.213,0.0882
My Love,pop,Westlife,0.491,0.593,-5.975,0.0255,0.098,0.0,0.328,0.257
Pure Shores,pop,All Saints,0.631,0.664,-9.197,0.0242,0.0498,0.00042,0.407,0.0696
"Independent Women, Pt. 1","pop, R&B",Destiny's Child,0.73,0.602,-3.782,0.206,0.362,3.69e-06,0.927,0.169
It's Gonna Be Me,pop,*NSYNC,0.644,0.874,-4.666,0.0801,0.0459,2.24e-06,0.882,0.0584
Bag Lady,"hip hop, R&B",Erykah Badu,0.724,0.416,-8.964,0.0841,0.365,0.0,0.578,0.0969
You Sang To Me,"pop, latin",Marc Anthony,0.578,0.894,-5.42,0.0296,0.0103,2.66e-06,0.741,0.216
Bent,"pop, rock",Matchbox Twenty,0.518,0.83,-6.814,0.0386,0.0404,3.85e-06,0.527,0.375
Rise,"pop, R&B",Gabrielle,0.558,0.481,-9.487,0.026,0.315,8.83e-06,0.631,0.09
Shape of My Heart,pop,Backstreet Boys,0.575,0.786,-4.353,0.0296,0.252,0.0,0.518,0.159
With Arms Wide Open,"pop, rock, metal",Creed,0.41,0.539,-8.412,0.0302,0.00425,0.00089,0.141,0.117
Breathless,"pop, Folk/Acoustic",The Corrs,0.607,0.82,-7.754,0.0597,0.0541,6.8e-05,0.768,0.269
I Wanna Know,"pop, R&B",Joe,0.725,0.487,-5.959,0.0368,0.26,1.09e-05,0.599,0.431
Teenage Dirtbag,set(),Wheatus,0.625,0.85,-3.904,0.0495,0.346,0.000233,0.633,0.174
Come on over Baby (All I Want Is You) - Radio Version,pop,Christina Aguilera,0.829,0.915,-3.205,0.106,0.226,1.25e-05,0.779,0.246
Higher,"pop, rock, metal",Creed,0.459,0.83,-6.254,0.0364,5.15e-05,0.00014,0.431,0.206
Lucky,pop,Britney Spears,0.765,0.791,-5.707,0.0317,0.262,0.000154,0.966,0.0669
Country Grammar (Hot Shit),"hip hop, pop, R&B",Nelly,0.865,0.664,-6.822,0.108,0.00689,0.0,0.565,0.142
